QF_Type	start	end	date_assessment	gender_KI	comm_q1	comm_q2	comm_q3	comm_q4	comm_q5	comm_q6	comm_q6_other	comm_q7	comm_q8	comm_q9	comm_q9_other	comm_q10	comm_q11	comm_q12	comm_q13	comm_q14	comm_q15	comm_q16	comm_q16_other	comm_q17	comm_q18	comm_q19	comm_q20	comm_q21	comm_q22	comm_q23	comm_q24	comm_q25	comm_q26	comm_q27	comm_q28	comm_q29	comm_q30	comm_q31	comm_q32	comm_q33	comm_q34	comm_q35	comm_q36	comm_q37	comm_q38	comm_q39	comm_q40	comm_q41	comm_q42	comm_q43	comm_q44	comm_q45	food_market_active	nfi_market_active	mixed_market_active	active_markets	food_market_limited	nfi_market_limited	mixed_market_limited	limited_markets	food_market_closed	nfi_market_closed	mixed_market_closed	closed_markets	comm_q49	comm_q50	comm_q50_other	comm_q51	comm_q51_other	comm_q52	comm_q53	comm_q53_other	comm_q54	comm_q54_other	comm_q55	comm_q56	comm_q57	comm_q58	comm_q58_other	comm_q59	comm_q60	comm_q61	comm_q61_other	comm_q62	comm_q62_other	comm_q63	comm_q63_other	comm_q64	comm_q65	comm_q65_other	comm_q66	comm_q66_other	comm_q67	comm_q68	comm_q69	comm_q70	comm_q70_other	comm_q71	comm_q72	comm_q73	comm_q73_other	comm_q74	comm_q74_other	comm_q75	comm_q75_other	comm_q76	comm_q76_other	current_oblast	current_raion	current_village	gps_work	_gpslocation_latitude	_gpslocation_longitude	location_manual	_id
Community	2017-05-19T12:25:29.138+03	2017-05-19T12:48:27.709+03	19.05.2017	male	No	Попасная	No	Попасная	Yes	Distance to services is too big		0	Попасная	"No transportation\long distance to facility; Health care services are too expensive;"		all equally	0-250	Yes, infrequently	The community does not use gas	no	No centralized heating in the community	Fuel too expensive Delivery problems Quality is too bad		Not available	27.0	999.0	29.0	16.0	999.0	999.0	999.0	999.0	34.0	999.0	27.0	8.0	8.0	7.0	6.0	5.0	999.0	999.0	999.0	8.0	999.0	20.0	20.0	09.авг	999.0	04.июль	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Private transport (own car, borrowed car) Bicycle Walking		Distance Transport is never available			local (in this rayon) from the oblast from other regions of Ukraine		Farming Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost Other (specify)	Доставка	Выращивают для себя	Попасная	Distance Problems transporting produce Other (specify)	Погода	Distance to FSP Other (specify)	Транспорт	No concerns		No			Landmines\ERW are not present		No		No	Delivering pensions or social benefits		No, not required	infrequently	well		Yes		Waste is buried or burned		no problems		Luhanska	Popasnianskyi	Druzhba	Yes	48.64607802813128	38.30553571790878		3750783
Community	2017-05-19T13:17:52.739+03	2017-05-19T16:52:18.956+03	19.05.2017	female	Yes, functioning		No	Лисичанск	No	No challenges		5	Лисичанск	"High cost of transportation to health facility; Health care services are too expensive; other (specify)"	Нет квалифицированной помощи	all equally	>2000	no	no	no	no	Fuel too expensive		Fully available	28.0	14.0	32.0	18.0	6.0	80.0	85.0	65.0	70.0	85.0	18.0	13.0	9.0	25.0	12.0	15.0	17.0	9.0	12.0	14.0	12.0	26.0	70.0	25.0	180.0	8.0	28.0	30.0	0	0	1	1	0	0	1	1	0	0	0	0	Магазин	Private bus service Walking		No challenges			from the oblast from other regions of Ukraine other (specify)	Из Северодонецка	Stable employment (salaried) other (specify)	Работа на шахте	Fully available	Fully available	Fully available	Don't know		На ринке, по знакомим	Там же	No problems Other (specify)	Только заплатить за место на ринке	Queues FSPs do not offer necessary services Other (specify)	Ездят получать зарплати и пенсии в Лисичанск и Северодонецк	Lack of Psycho-Social Support		No			other (specify)	За городом заминировано	Yes, insufficient		Yes, insufficient	Delivering pensions or social benefits		No, required	infrequently	piped drinking water		Yes		Public (paid) waste collection		other (specify)	Вода плохого качества	Luhanska	Popasnianskyi	Hirske	Yes	48.74076119067969	38.48783507596697		3750797
Community	2017-05-19T14:58:51.006+03	2017-05-19T15:25:35.064+03	19.05.2017	female	No	Попасная	No	Попасная	No	No challenges other (specify)	Школу х отят перенести в Камишеваху	0	Горск	"No health facilities available in the area; No transportation\long distance to facility; other (specify)"	Скорая  едет с Попасной около часа, фап не полноценний	all equally	don’t know	no	The community does not use gas	The community has no water supply	No centralized heating in the community	No problems		Not available	40.0	15.0	30.0	15.0	6.0	999.0	35.0	40.0	40.0	999.0	30.0	9.0	8.0	999.0	9.0	999.0	18.0	14.0	10.0	14.0	16.0	20.0	32.0	12.0	999.0	5.0	12.0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	Магазин либо Горск	Private transport (own car, borrowed car) Walking		Distance			from other regions of Ukraine other (specify)	С бази с Лисичанска	Stable employment (salaried) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Don't know		Обман между жителями продуктами либо в Горск	Так же	Problems transporting produce Other (specify)	Оплатити место на ринке	Distance to FSP Other (specify)	Отсутствие транспорта	No concerns		No			Landmines\ERW are not present		No		No	In-home social care Other (specify)	Если есть родственники соцслужби помощь не оказивают и не посещают	No, required	never happened	well		No		Waste is buried or burned other (specify)	Бесплатний вивоз мусора (1год)	Cannot empty septic tank other (specify)	Если вигребная яма заповнена не переносят в другие место	Luhanska	Popasnianskyi	Novoivanivka	Yes	48.74764252827548	38.47402846455772		3750801
Community	2017-05-19T12:24:02.299+03	2017-05-19T17:14:41.019+03	19.05.2017	female	No	Попасная	No	Попасная	Yes	Distance to services is too big		0	Попасная	"No health facilities available in the area; No transportation\long distance to facility;"		disabled male disabled female elderly male elderly female	don’t know	no	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive		Not available	27.0	8.0	30.0	17.0	6.0	999.0	999.0	45.0	70.0	999.0	999.0	9.0	8.0	12.0	999.0	999.0	999.0	999.0	999.0	999.0	12.0	999.0	40.0	999.0	999.0	999.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Private bus service Private transport (own car, borrowed car) Bicycle		Distance high prices Transport is too expensive		150.0	from other regions of Ukraine		Stable employment (salaried) Farming Allowances (Social security\welfare)		Limited availability	Limited availability	Limited availability	Cost		Попасная	Попасная	Distance		Cost of travelling to FSP		Mines and ERW		No			Landmines\ERW are not present		No		No	In-home social care Registration servives Delivering pensions or social benefits		No, not required	infrequently	well		No		Waste is buried or burned		other (specify)	Используется техническая вода без фильтрования	Luhanska	Popasnianskyi	Druzhba	Yes	48.646132239637076	38.305635469819805		3750904
Community	2017-05-19T13:49:15.097+03	2017-05-19T17:26:25.726+03	19.05.2017	male	No	Попасная	No	Попасная	Yes	"Distance to services is too big Route to services is unsafe (mines, checkpoints, shelling);"		0	Попасная	"No health facilities available in the area; Security concerns around travel to health facility; No transportation\long distance to facility;"		disabled male disabled female elderly male elderly female	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Delivery problems		Limited availability	999.0	999.0	999.0	999.0	6.0	999.0	999.0	999.0	999.0	999.0	999.0	9.0	9.0	12.0	7.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Попасная	Private transport (own car, borrowed car) Mototransport Bicycle		Distance high prices			from other regions of Ukraine		Farming Allowances (Social security\welfare)		Limited availability	Limited availability	Limited availability	Cost		Попасная рынок	Попасная рынок	Distance Security concerns		Distance to FSP		Community tension Mines and ERW		No			"Landmines\ERW are present;"		No	None of the known areas	No	In-home social care Registration servives Delivering pensions or social benefits		Yes, insufficient	Weekly	well		No		Waste is buried or burned		No water to flush Cannot empty septic tank		Luhanska	Popasnianskyi	Novozvanivka	Yes	48.57586592284521	38.36049285054846		3750905
Community	2017-05-19T12:22:05.652+03	2017-05-19T12:54:56.527+03	19.05.2017	female	No	Горск	No	Попасная	Yes	other (specify)	Очень плохая дорога у школе	0	Горск центр 5 шт	other (specify)	Не хватает гинекологов	all equally	0-250	no	The community does not use gas	no	No centralized heating in the community	Fuel too expensive		Limited availability	38.0	13.0	37.0	17.0	999.0	999.0	60.0	999.0	50.0	999.0	17.0	9.0	8.0	15.0	999.0	999.0	699.0	999.0	999.0	15.0	8.0	999.0	999.0	13.0	999.0	4.0	16.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Магазин, лисичанск	Private bus service		Other (specify) Transport is too expensive	Редко ходит транспорт	999.0	local (in this rayon) from the oblast		Stable employment (salaried) Unstable employment (daily) Allowances (Social security\welfare)		Fully available	Limited availability	Fully available	Don't know		Не продают	Не продают	Don't know		Queues Other (specify)	Недостаток почтовых отделений и отделений ощад банка	other (specify)	Обстрелы	Don't know			other (specify)	Все что выявили разминировали	Yes, sufficient		Yes, insufficient	All available		No, required	Montly	well		Yes		Waste is buried or burned other (specify)	Сами вывозят	no problems		Luhanska	Popasnianskyi	Hirske	Yes	48.76332329194303	38.51308022280275		3751032
Community	2017-05-19T14:52:13.480+03	2017-05-19T17:21:11.736+03	19.05.2017	female	No	Врубовка	No	Попасная	Yes	No challenges		0	Горск	"No transportation\long distance to facility;"		disabled female	0-250	no	The community does not use gas	The community has no water supply	No centralized heating in the community	No problems		Limited availability	25.0	15.0	35.0	16.0	7.0	999.0	999.0	999.0	60.0	999.0	27.0	10.0	9.0	999.0	999.0	999.0	999.0	999.0	999.0	15.0	10.0	25.0	999.0	13.0	999.0	6.0	17.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	Один магазин в Новоивановке	Private transport (own car, borrowed car) Mototransport Bicycle Walking		Distance Transport is never available			local (in this rayon) from the oblast		Unstable employment (daily) Allowances (Social security\welfare)		Limited availability	Limited availability	Limited availability	Cost		Выращивают Для себя	Не продавали ранее.	Distance		Distance to FSP Queues		No concerns		No			Landmines\ERW are not present		No		Yes, insufficient	All available		No, not required	infrequently	well		Yes		Public (paid) waste collection		other (specify)	Каждая семья старается решить проблему канализации самостоятельно.	Luhanska	Popasnianskyi	Novoivanivka	Yes	48.747657546982836	38.47430226842943		3751034
Community	2017-05-19T14:00:36.899+03	2017-05-19T17:39:10.739+03	19.05.2017	female	Yes, functioning		No	Попасная	Yes	No challenges other (specify)	Нет транспорта,после 14.00 но куда не доедешь.	3	Заказывают если нет в наличии.Северодонецк по необходимости.	other (specify)	"Недостаточное кол-во врачей,нет специалистов, педиатра 70лет;стоматолог -75"	disabled male disabled female all equally	501-750	Yes, infrequently	The community does not use gas	no	Yes, infrequently	Fuel too expensive Quality is too bad		Fully available	26.0	18.0	37.0	17.0	7.0	100.0	60.0	80.0	60.0	100.0	25.0	10.0	10.0	18.0	7.0	10.0	10.0	7.0	7.0	25.0	10.0	25.0	50.0	15.0	300.0	5.0	15.0	999.0	0	0	1	1	0	0	0	0	0	0	0	0	Магазины	Private bus service Bicycle Walking		No challenges			local (in this rayon) from the oblast		Stable employment (salaried) Unstable employment (daily) Allowances (Social security\welfare)		Fully available	Fully available	Fully available	Cost		Местный рынок	Не возили	Distance Other (specify)	Очень мало ввращ.на продажу	Queues Lack of FSPs (incl. ATMs)		Community tension other (specify)	Назревает проблема между местными и ВПЛ, на распределении ГУМ.помощи и рабоч.мест	Yes	other (specify)	Самостоятельно многие проявляют интерес к военным.	Landmines\ERW are not present		Yes, insufficient		Yes, insufficient	In-home social care		Yes, insufficient	Weekly	well		Yes		Public (paid) waste collection		don't know		Luhanska	Popasnianskyi	Hirske	Yes	48.745767277960766	38.48700575806183		3751048
Community	2017-05-19T14:50:00.153+03	2017-05-19T17:43:23.026+03	19.05.2017	female	No	Горск	No	Попасное	No	No challenges		0	Горск	"No health facilities available in the area;"		all equally	don’t know	Yes, infrequently	The community does not use gas	The community has no water supply	No centralized heating in the community	Fuel too expensive Delivery problems		Limited availability	23.0	18.0	28.0	999.0	10.0	999.0	999.0	80.0	60.0	90.0	28.0	08.май	08.май	999.0	999.0	8.0	8.0	999.0	07.май	999.0	12.0	32.0	999.0	999.0	300.0	07.май	22.0	60.0	0	0	0	0	0	0	0	0	0	0	0	0	г. Горск	Walking		Distance Transport is never available			from the oblast		Stable employment (salaried) Farming Allowances (Social security\welfare)		Limited availability	Fully available	Don't know	Cost		Не продают	Не продают	Other (specify)	Продукція не продается	Distance to FSP		No concerns		No			Landmines\ERW are not present		Yes, insufficient		No	All available		Yes, insufficient	Not in last three months but has happened	well		No		Public (paid) waste collection		Cannot empty septic tank		Luhanska	Popasnianskyi	Novoivanivka	Yes	48.74768165295434	38.473853349358436		3751637
Community	2017-05-22T14:40:15.427+03	2017-05-22T15:21:17.777+03	22.05.2017	female	No	Горское	No	Попасная	Yes	other (specify)	Недостаток кадров, нет транспорта, мало детей	1	Горское	other (specify)	Нет врача	elderly male elderly female	don’t know	no	The community does not use gas	Yes, infrequently	No centralized heating in the community	Fuel too expensive Quality is too bad		Fully available	46.0	12.май	28.0	19.май	05.май	999.0	30.0	60.0	42.0	75.0	25.0	8.0	10.0	10.0	11.0	05.май	16.0	14.0	6.0	21.0	9.0	20.0	33.0	10.0	999.0	5.0	27.0	999.0	0	0	0	0	0	0	0	0	0	0	0	0	"Рынок ""часа"", Горское"	Private bus service		Distance Transport is never available high prices			local (in this rayon) from the oblast		Unstable employment (daily) Farming		Fully available	Fully available	Fully available	Cost		Для себя	На трассе, Горское	Other (specify)	Земли забрали военные	Lack of FSPs (incl. ATMs)		Community tension Land expropriation Presence of armed groups		No			other (specify)	Ранее были	Yes, sufficient		Yes, sufficient	All available		Yes, sufficient	Weekly	bottled				Waste is left in the street\public area		Damage to infrastructure water shortages		Luhanska	Popasnianskyi	Zolote	Yes	48.68212833395951	38.47635367486525		3806437
